property_id,invariant,boundary,passed,generated_cases,skipped_cases,shrinks,seed,counterexample_path,counterexample,error,elapsed_ms
PB-01,normalization is idempotent,semantic normalization,true,2000,0,0,20260805,,,,49.376499999999965
PB-02,NFC-equivalent and trim-equivalent records share one normalized identity,semantic normalization,true,2000,0,0,20260806,,,,40.67160000000001
PB-03,structured identity keys avoid delimiter-concatenation collisions,semantic identity,true,2000,0,0,20260807,,,,14.379999999999995
PB-04,duplicate stable identifiers are deterministically deduplicated with last-row precedence,semantic identity,true,2000,0,0,20260808,,,,35.182000000000016
PB-05,stable-ID merge preserves lottery-side state while updating public fields,historical state,true,2000,0,0,20260809,,,,197.3419
PB-06,identical legacy identities are upgraded one-to-one when stable IDs arrive,identity upgrade and historical state,true,2000,0,0,20260810,,,,178.94389999999999
PB-07,historical UID exclusions survive stable-ID introduction,exclusion continuity,true,2000,0,0,20260811,,,,22.579200000000014
PB-08,sequence watermarks permit only safe retry and never roll back past a newer accepted sequence,message order and retry,true,2000,0,0,20260812,,,,7.361700000000042
PB-09,transient invalid empties are skipped while explicit zero rosters clear,empty-payload semantics,true,2000,0,0,20260813,,,,14.17730000000006
