mode,roster_size,repetition,surface_ms,keyed_ms,contract_ms,incremental_ms,incremental_over_keyed_ms,contract_to_surface_ratio,contract_to_keyed_ratio,incremental_share_of_contract,incremental_over_keyed_share_of_contract
synchronize,50,90,0.0377,0.0303,1.0971,1.0594,1.0668,29.100796,36.207921,0.965637,0.972382
synchronize,50,91,0.0331,0.0294,1.1043,1.0712,1.0749,33.362538,37.561224,0.970026,0.973377
synchronize,50,92,0.0363,0.0316,1.1317,1.0954,1.1001,31.176309,35.813291,0.967924,0.972077
synchronize,50,93,0.0347,0.032,1.0907,1.056,1.0587,31.432277,34.084375,0.968186,0.970661
synchronize,50,94,0.0338,0.0309,1.0929,1.0591,1.062,32.33432,35.368932,0.969073,0.971727
synchronize,50,95,0.0649,0.0324,1.1915,1.1266,1.1591,18.359014,36.774691,0.945531,0.972807
synchronize,50,96,0.0242,0.0229,0.883,0.8588,0.8601,36.487603,38.558952,0.972593,0.974066
synchronize,50,97,0.0216,0.0207,0.7611,0.7395,0.7404,35.236111,36.768116,0.97162,0.972803
synchronize,50,98,0.0368,0.0211,1.3094,1.2726,1.2883,35.581522,62.056872,0.971896,0.983886
synchronize,50,99,0.0356,0.0337,1.1131,1.0775,1.0794,31.266854,33.029674,0.968017,0.969724
synchronize,50,100,0.0344,0.0294,1.0947,1.0603,1.0653,31.822674,37.234694,0.968576,0.973143
synchronize,50,101,0.034,0.0323,1.0751,1.0411,1.0428,31.620588,33.28483,0.968375,0.969956
synchronize,50,102,0.0405,0.0296,1.0738,1.0333,1.0442,26.51358,36.277027,0.962283,0.972434
synchronize,50,103,0.0335,0.0301,1.1031,1.0696,1.073,32.928358,36.647841,0.969631,0.972713
synchronize,50,104,0.0346,0.0326,1.0872,1.0526,1.0546,31.421965,33.349693,0.968175,0.970015
synchronize,50,105,0.0336,0.0295,1.0802,1.0466,1.0507,32.14881,36.616949,0.968895,0.97269
synchronize,50,106,0.0326,0.0296,1.1356,1.103,1.106,34.834356,38.364865,0.971293,0.973934
synchronize,50,107,0.035,0.0327,1.0975,1.0625,1.0648,31.357143,33.562691,0.968109,0.970205
synchronize,50,108,0.0348,0.031,1.3206,1.2858,1.2896,37.948276,42.6,0.973648,0.976526
synchronize,50,109,0.0337,0.0309,1.0868,1.0531,1.0559,32.249258,35.171521,0.968992,0.971568
synchronize,50,110,0.0329,0.0348,1.0818,1.0489,1.047,32.881459,31.086207,0.969588,0.967831
synchronize,50,111,0.0352,0.0323,1.5049,1.4697,1.4726,42.752841,46.591331,0.97661,0.978537
synchronize,50,112,0.0336,0.0304,1.0824,1.0488,1.052,32.214286,35.605263,0.968958,0.971914
synchronize,50,113,0.0346,0.0315,1.0816,1.047,1.0501,31.260116,34.336508,0.96801,0.970876
synchronize,50,114,0.0336,0.0308,1.0972,1.0636,1.0664,32.654762,35.623377,0.969377,0.971929
synchronize,50,115,0.0341,0.0298,1.078,1.0439,1.0482,31.612903,36.174497,0.968367,0.972356
synchronize,50,116,0.0345,0.031,1.0759,1.0414,1.0449,31.185507,34.706452,0.967934,0.971187
synchronize,50,117,0.0335,0.03,1.1053,1.0718,1.0753,32.99403,36.843333,0.969691,0.972858
synchronize,50,118,0.0334,0.0316,1.0772,1.0438,1.0456,32.251497,34.088608,0.968994,0.970665
synchronize,50,119,0.0331,0.0313,1.0709,1.0378,1.0396,32.353474,34.214058,0.969091,0.970772
synchronize,50,120,0.0341,0.0294,1.0801,1.046,1.0507,31.674487,36.738095,0.968429,0.97278
synchronize,50,121,0.0332,0.0342,1.0723,1.0391,1.0381,32.298193,31.353801,0.969039,0.968106
synchronize,50,122,0.0348,0.03,1.0817,1.0469,1.0517,31.083333,36.056667,0.967828,0.972266
synchronize,50,123,0.0222,0.0199,0.8078,0.7856,0.7879,36.387387,40.592965,0.972518,0.975365
synchronize,50,124,0.0202,0.0191,0.8767,0.8565,0.8576,43.40099,45.900524,0.976959,0.978214
synchronize,50,125,0.0224,0.0348,0.8442,0.8218,0.8094,37.6875,24.258621,0.973466,0.958778
synchronize,50,126,0.0204,0.0197,0.7245,0.7041,0.7048,35.514706,36.77665,0.971843,0.972809
synchronize,50,127,0.0204,0.0188,0.7213,0.7009,0.7025,35.357843,38.367021,0.971718,0.973936
synchronize,50,128,0.0294,0.0187,0.8342,0.8048,0.8155,28.37415,44.609626,0.964757,0.977583
synchronize,50,129,0.0259,0.0218,1.1088,1.0829,1.087,42.810811,50.862385,0.976641,0.980339
synchronize,50,130,0.0206,0.0189,0.7804,0.7598,0.7615,37.883495,41.291005,0.973603,0.975782
synchronize,50,131,0.0228,0.0214,0.7217,0.6989,0.7003,31.653509,33.724299,0.968408,0.970348
synchronize,50,132,0.0226,0.0202,0.7447,0.7221,0.7245,32.951327,36.866337,0.969652,0.972875
synchronize,50,133,0.0216,0.0197,0.7342,0.7126,0.7145,33.990741,37.269036,0.97058,0.973168
synchronize,50,134,0.0395,0.0204,1.0481,1.0086,1.0277,26.534177,51.377451,0.962313,0.980536
synchronize,50,135,0.0219,0.02,0.8318,0.8099,0.8118,37.981735,41.59,0.973672,0.975956
synchronize,50,136,0.02,0.0197,0.7945,0.7745,0.7748,39.725,40.329949,0.974827,0.975205
synchronize,50,137,0.0335,0.0211,0.7441,0.7106,0.723,22.21194,35.265403,0.954979,0.971644
synchronize,50,138,0.0252,0.0345,0.7199,0.6947,0.6854,28.56746,20.866667,0.964995,0.952077
synchronize,50,139,0.0379,0.0335,0.9008,0.8629,0.8673,23.76781,26.889552,0.957926,0.962811
synchronize,50,140,0.0217,0.0211,0.7658,0.7441,0.7447,35.290323,36.293839,0.971664,0.972447
synchronize,50,141,0.0207,0.0205,0.7169,0.6962,0.6964,34.63285,34.970732,0.971126,0.971405
synchronize,50,142,0.0208,0.0188,0.7288,0.708,0.71,35.038462,38.765957,0.97146,0.974204
synchronize,50,143,0.0207,0.0189,0.7107,0.69,0.6918,34.333333,37.603175,0.970874,0.973407
synchronize,50,144,0.052,0.0338,1.022,0.97,0.9882,19.653846,30.236686,0.949119,0.966928
synchronize,50,145,0.0341,0.0341,1.0208,0.9867,0.9867,29.935484,29.935484,0.966595,0.966595
synchronize,50,146,0.0224,0.0214,0.7457,0.7233,0.7243,33.290179,34.845794,0.969961,0.971302
synchronize,50,147,0.0204,0.0205,0.7271,0.7067,0.7066,35.642157,35.468293,0.971943,0.971806
synchronize,50,148,0.0202,0.0189,0.8847,0.8645,0.8658,43.79703,46.809524,0.977167,0.978637
synchronize,50,149,0.0232,0.0221,1.0495,1.0263,1.0274,45.237069,47.488688,0.977894,0.978942
synchronize,50,150,0.0206,0.0286,0.7432,0.7226,0.7146,36.07767,25.986014,0.972282,0.961518
synchronize,50,151,0.0221,0.0191,0.7683,0.7462,0.7492,34.764706,40.225131,0.971235,0.97514
synchronize,50,152,0.0217,0.0427,0.7828,0.7611,0.7401,36.073733,18.332553,0.972279,0.945452
synchronize,50,153,0.0379,0.0343,1.0414,1.0035,1.0071,27.477573,30.361516,0.963607,0.967064
synchronize,50,154,0.0359,0.033,0.916,0.8801,0.883,25.51532,27.757576,0.960808,0.963974
synchronize,50,155,0.0221,0.0209,0.7353,0.7132,0.7144,33.271493,35.181818,0.969944,0.971576
synchronize,50,156,0.0204,0.0196,0.7122,0.6918,0.6926,34.911765,36.336735,0.971356,0.97248
synchronize,50,157,0.0205,0.0186,0.737,0.7165,0.7184,35.95122,39.623656,0.972185,0.974763
