scenario,variant,roster_size,repetition,outcome_success,state_preservation_rate,final_count,elapsed_ms
state-continuity,replace-all,50,13,false,0,50,0.006200000000006867
state-continuity,state-preserving-merge,50,13,true,1,50,0.059499999999985675
message-order,sequence-guard,50,13,true,,50,0
message-order,without-sequence-guard,50,13,false,,50,0
transient-empty,empty-payload-guard,50,13,true,,50,0
transient-empty,without-empty-guard,50,13,false,,0,0
stable-identity,full-protocol,50,14,true,1,50,0.06010000000000559
stable-identity,without-stable-id,50,14,false,0,50,0.06870000000000687
state-continuity,replace-all,50,14,false,0,50,0.008499999999997954
state-continuity,state-preserving-merge,50,14,true,1,50,0.044399999999996
message-order,sequence-guard,50,14,true,,50,0
message-order,without-sequence-guard,50,14,false,,50,0
transient-empty,empty-payload-guard,50,14,true,,50,0
transient-empty,without-empty-guard,50,14,false,,0,0
stable-identity,full-protocol,50,15,true,1,50,0.07460000000000377
stable-identity,without-stable-id,50,15,false,0,50,0.42379999999999995
state-continuity,replace-all,50,15,false,0,50,0.004600000000010596
state-continuity,state-preserving-merge,50,15,true,1,50,0.06790000000000873
message-order,sequence-guard,50,15,true,,50,0
message-order,without-sequence-guard,50,15,false,,50,0
transient-empty,empty-payload-guard,50,15,true,,50,0
transient-empty,without-empty-guard,50,15,false,,0,0
stable-identity,full-protocol,50,16,true,1,50,0.04909999999998149
stable-identity,without-stable-id,50,16,false,0,50,0.06870000000000687
state-continuity,replace-all,50,16,false,0,50,0.004899999999992133
state-continuity,state-preserving-merge,50,16,true,1,50,0.04949999999999477
message-order,sequence-guard,50,16,true,,50,0
message-order,without-sequence-guard,50,16,false,,50,0
transient-empty,empty-payload-guard,50,16,true,,50,0
transient-empty,without-empty-guard,50,16,false,,0,0
stable-identity,full-protocol,50,17,true,1,50,0.045199999999994134
stable-identity,without-stable-id,50,17,false,0,50,0.06869999999997844
state-continuity,replace-all,50,17,false,0,50,0.0036000000000058208
state-continuity,state-preserving-merge,50,17,true,1,50,0.03959999999997876
message-order,sequence-guard,50,17,true,,50,0
message-order,without-sequence-guard,50,17,false,,50,0
transient-empty,empty-payload-guard,50,17,true,,50,0
transient-empty,without-empty-guard,50,17,false,,0,0
stable-identity,full-protocol,50,18,true,1,50,0.07230000000001269
stable-identity,without-stable-id,50,18,false,0,50,0.07740000000001146
state-continuity,replace-all,50,18,false,0,50,0.003599999999977399
state-continuity,state-preserving-merge,50,18,true,1,50,0.03630000000001132
message-order,sequence-guard,50,18,true,,50,0
message-order,without-sequence-guard,50,18,false,,50,0
transient-empty,empty-payload-guard,50,18,true,,50,0
transient-empty,without-empty-guard,50,18,false,,0,0
stable-identity,full-protocol,50,19,true,1,50,0.03880000000000905
stable-identity,without-stable-id,50,19,false,0,50,0.03860000000000241
state-continuity,replace-all,50,19,false,0,50,0.0016999999999995907
state-continuity,state-preserving-merge,50,19,true,1,50,0.03319999999999368
message-order,sequence-guard,50,19,true,,50,0
message-order,without-sequence-guard,50,19,false,,50,0
transient-empty,empty-payload-guard,50,19,true,,50,0
transient-empty,without-empty-guard,50,19,false,,0,0
stable-identity,full-protocol,50,20,true,1,50,0.035499999999984766
stable-identity,without-stable-id,50,20,false,0,50,0.06379999999998631
state-continuity,replace-all,50,20,false,0,50,0.00190000000000623
state-continuity,state-preserving-merge,50,20,true,1,50,0.03290000000001214
message-order,sequence-guard,50,20,true,,50,0
message-order,without-sequence-guard,50,20,false,,50,0
transient-empty,empty-payload-guard,50,20,true,,50,0
transient-empty,without-empty-guard,50,20,false,,0,0
stable-identity,full-protocol,50,21,true,1,50,0.03669999999999618
stable-identity,without-stable-id,50,21,false,0,50,0.046699999999987085
state-continuity,replace-all,50,21,false,0,50,0.0024000000000228283
state-continuity,state-preserving-merge,50,21,true,1,50,0.03100000000000591
message-order,sequence-guard,50,21,true,,50,0
message-order,without-sequence-guard,50,21,false,,50,0
transient-empty,empty-payload-guard,50,21,true,,50,0
transient-empty,without-empty-guard,50,21,false,,0,0
