browser,browser_version,roster_size,repetition,phase,status,final_count,unique_stable_ids,duplicate_stable_ids,exact_identity_set,receiver_rows_accepted,receiver_preparation_ms,receiver_persistence_ms,protocol_completion_latency_ms,observed_wall_time_ms,error_class,error_message
chromium,149.0.7827.55,200,18,measurement,pass,200,200,0,true,200,2.7000000029802322,85.59999999776483,91,542,,
chromium,149.0.7827.55,200,19,measurement,pass,200,200,0,true,200,3,82.59999999776483,87,511,,
chromium,149.0.7827.55,200,20,measurement,pass,200,200,0,true,200,2.699999999254942,78.10000000149012,82,495,,
chromium,149.0.7827.55,200,21,measurement,pass,200,200,0,true,200,3.600000001490116,90.89999999850988,97,501,,
chromium,149.0.7827.55,200,22,measurement,pass,200,200,0,true,200,3.100000001490116,79.69999999925494,85,535,,
chromium,149.0.7827.55,200,23,measurement,pass,200,200,0,true,200,3.599999997764826,72,79,487,,
chromium,149.0.7827.55,200,24,measurement,pass,200,200,0,true,200,2.699999999254942,90.60000000149012,96,554,,
chromium,149.0.7827.55,200,25,measurement,pass,200,200,0,true,200,4,86.89999999850988,93,578,,
chromium,149.0.7827.55,200,26,measurement,pass,200,200,0,true,200,3.800000000745058,89.5,97,562,,
chromium,149.0.7827.55,200,27,measurement,pass,200,200,0,true,200,3.2999999970197678,82.5,89,506,,
chromium,149.0.7827.55,200,28,measurement,pass,200,200,0,true,200,3.399999998509884,81.19999999925494,87,526,,
chromium,149.0.7827.55,200,29,measurement,pass,200,200,0,true,200,2.600000001490116,70.19999999925494,81,528,,
chromium,149.0.7827.55,200,30,measurement,pass,200,200,0,true,200,5.599999997764826,111.90000000223517,120,672,,
chromium,149.0.7827.55,500,1,warmup,pass,500,500,0,true,500,5.599999997764826,128.90000000223517,138,654,,
chromium,149.0.7827.55,500,1,measurement,pass,500,500,0,true,500,6,133.19999999925494,148,688,,
chromium,149.0.7827.55,500,2,measurement,pass,500,500,0,true,500,6.699999999254942,132.5,142,640,,
chromium,149.0.7827.55,500,3,measurement,pass,500,500,0,true,500,6.600000001490116,142.39999999850988,152,673,,
chromium,149.0.7827.55,500,4,measurement,pass,500,500,0,true,500,6,144.69999999925494,153,706,,
chromium,149.0.7827.55,500,5,measurement,pass,500,500,0,true,500,6.5,136.69999999925494,146,692,,
chromium,149.0.7827.55,500,6,measurement,pass,500,500,0,true,500,7.800000000745058,137.30000000074506,147,681,,
chromium,149.0.7827.55,500,7,measurement,pass,500,500,0,true,500,7.699999999254942,144,155,682,,
chromium,149.0.7827.55,500,8,measurement,pass,500,500,0,true,500,5.899999998509884,134.40000000223517,143,714,,
chromium,149.0.7827.55,500,9,measurement,pass,500,500,0,true,500,8.799999997019768,145.20000000298023,155,746,,
chromium,149.0.7827.55,500,10,measurement,pass,500,500,0,true,500,6.699999999254942,130.10000000149012,139,657,,
chromium,149.0.7827.55,500,11,measurement,pass,500,500,0,true,500,8,140,151,709,,
chromium,149.0.7827.55,500,12,measurement,pass,500,500,0,true,500,8.100000001490116,145.80000000074506,157,698,,
chromium,149.0.7827.55,500,13,measurement,pass,500,500,0,true,500,5.900000002235174,115.19999999925494,124,650,,
chromium,149.0.7827.55,500,14,measurement,pass,500,500,0,true,500,7.400000002235174,138.09999999776483,148,670,,
chromium,149.0.7827.55,500,15,measurement,pass,500,500,0,true,500,6.300000000745058,161,170,725,,
chromium,149.0.7827.55,500,16,measurement,pass,500,500,0,true,500,6.900000002235174,136,146,698,,
chromium,149.0.7827.55,500,17,measurement,pass,500,500,0,true,500,8.199999999254942,170.69999999925494,182,707,,
chromium,149.0.7827.55,500,18,measurement,pass,500,500,0,true,500,7.800000000745058,144.69999999925494,155,699,,
chromium,149.0.7827.55,500,19,measurement,pass,500,500,0,true,500,6.900000002235174,131.69999999925494,141,668,,
chromium,149.0.7827.55,500,20,measurement,pass,500,500,0,true,500,5.600000001490116,120.29999999701977,129,631,,
chromium,149.0.7827.55,500,21,measurement,pass,500,500,0,true,500,7,137,148,682,,
chromium,149.0.7827.55,500,22,measurement,pass,500,500,0,true,500,6.200000002980232,128.09999999776483,137,704,,
chromium,149.0.7827.55,500,23,measurement,pass,500,500,0,true,500,7,156.80000000074506,166,674,,
chromium,149.0.7827.55,500,24,measurement,pass,500,500,0,true,500,7.400000002235174,135.30000000074506,146,656,,
chromium,149.0.7827.55,500,25,measurement,pass,500,500,0,true,500,6.699999999254942,140.80000000074506,150,629,,
chromium,149.0.7827.55,500,26,measurement,pass,500,500,0,true,500,5.699999999254942,117.19999999925494,126,621,,
