scenario,variant,roster_size,repetition,outcome_success,state_preservation_rate,final_count,elapsed_ms
state-continuity,replace-all,50,13,false,0,50,0.0024999999999977263
state-continuity,state-preserving-merge,50,13,true,1,50,0.095799999999997
message-order,sequence-guard,50,13,true,,50,0
message-order,without-sequence-guard,50,13,false,,50,0
transient-empty,empty-payload-guard,50,13,true,,50,0
transient-empty,without-empty-guard,50,13,false,,0,0
stable-identity,full-protocol,50,14,true,1,50,0.14179999999998927
stable-identity,without-stable-id,50,14,false,0,50,0.14240000000000919
state-continuity,replace-all,50,14,false,0,50,0.002200000000016189
state-continuity,state-preserving-merge,50,14,true,1,50,0.11060000000000514
message-order,sequence-guard,50,14,true,,50,0
message-order,without-sequence-guard,50,14,false,,50,0
transient-empty,empty-payload-guard,50,14,true,,50,0
transient-empty,without-empty-guard,50,14,false,,0,0
stable-identity,full-protocol,50,15,true,1,50,0.12069999999999936
stable-identity,without-stable-id,50,15,false,0,50,0.14650000000000318
state-continuity,replace-all,50,15,false,0,50,0.004799999999988813
state-continuity,state-preserving-merge,50,15,true,1,50,0.11560000000000059
message-order,sequence-guard,50,15,true,,50,0
message-order,without-sequence-guard,50,15,false,,50,0
transient-empty,empty-payload-guard,50,15,true,,50,0
transient-empty,without-empty-guard,50,15,false,,0,0
stable-identity,full-protocol,50,16,true,1,50,0.12029999999998608
stable-identity,without-stable-id,50,16,false,0,50,0.1553000000000111
state-continuity,replace-all,50,16,false,0,50,0.0024999999999977263
state-continuity,state-preserving-merge,50,16,true,1,50,0.11170000000001323
message-order,sequence-guard,50,16,true,,50,0
message-order,without-sequence-guard,50,16,false,,50,0
transient-empty,empty-payload-guard,50,16,true,,50,0
transient-empty,without-empty-guard,50,16,false,,0,0
stable-identity,full-protocol,50,17,true,1,50,0.1133000000000095
stable-identity,without-stable-id,50,17,false,0,50,0.1273999999999944
state-continuity,replace-all,50,17,false,0,50,0.002299999999991087
state-continuity,state-preserving-merge,50,17,true,1,50,0.2453000000000145
message-order,sequence-guard,50,17,true,,50,0
message-order,without-sequence-guard,50,17,false,,50,0
transient-empty,empty-payload-guard,50,17,true,,50,0
transient-empty,without-empty-guard,50,17,false,,0,0
stable-identity,full-protocol,50,18,true,1,50,0.11730000000000018
stable-identity,without-stable-id,50,18,false,0,50,0.10930000000001883
state-continuity,replace-all,50,18,false,0,50,0.001599999999996271
state-continuity,state-preserving-merge,50,18,true,1,50,0.09530000000000882
message-order,sequence-guard,50,18,true,,50,0
message-order,without-sequence-guard,50,18,false,,50,0
transient-empty,empty-payload-guard,50,18,true,,50,0
transient-empty,without-empty-guard,50,18,false,,0,0
stable-identity,full-protocol,50,19,true,1,50,0.0981999999999914
stable-identity,without-stable-id,50,19,false,0,50,0.10269999999999868
state-continuity,replace-all,50,19,false,0,50,0.0020000000000095497
state-continuity,state-preserving-merge,50,19,true,1,50,0.1109000000000151
message-order,sequence-guard,50,19,true,,50,0
message-order,without-sequence-guard,50,19,false,,50,0
transient-empty,empty-payload-guard,50,19,true,,50,0
transient-empty,without-empty-guard,50,19,false,,0,0
stable-identity,full-protocol,50,20,true,1,50,0.1074999999999875
stable-identity,without-stable-id,50,20,false,0,50,0.10329999999999018
state-continuity,replace-all,50,20,false,0,50,0.0016999999999995907
state-continuity,state-preserving-merge,50,20,true,1,50,0.0952999999999804
message-order,sequence-guard,50,20,true,,50,0
message-order,without-sequence-guard,50,20,false,,50,0
transient-empty,empty-payload-guard,50,20,true,,50,0
transient-empty,without-empty-guard,50,20,false,,0,0
stable-identity,full-protocol,50,21,true,1,50,0.09889999999998622
stable-identity,without-stable-id,50,21,false,0,50,0.11649999999997362
state-continuity,replace-all,50,21,false,0,50,0.0010999999999796728
state-continuity,state-preserving-merge,50,21,true,1,50,0.09380000000001587
message-order,sequence-guard,50,21,true,,50,0
message-order,without-sequence-guard,50,21,false,,50,0
transient-empty,empty-payload-guard,50,21,true,,50,0
transient-empty,without-empty-guard,50,21,false,,0,0
stable-identity,full-protocol,50,22,true,1,50,0.09780000000000655
stable-identity,without-stable-id,50,22,false,0,50,0.102800000000002
state-continuity,replace-all,50,22,false,0,50,0.0011999999999829924
state-continuity,state-preserving-merge,50,22,true,1,50,0.10059999999998581
message-order,sequence-guard,50,22,true,,50,0
message-order,without-sequence-guard,50,22,false,,50,0
transient-empty,empty-payload-guard,50,22,true,,50,0
transient-empty,without-empty-guard,50,22,false,,0,0
stable-identity,full-protocol,50,23,true,1,50,0.11719999999999686
stable-identity,without-stable-id,50,23,false,0,50,0.10490000000001487
state-continuity,replace-all,50,23,false,0,50,0.0011999999999829924
state-continuity,state-preserving-merge,50,23,true,1,50,0.10159999999999059
message-order,sequence-guard,50,23,true,,50,0
message-order,without-sequence-guard,50,23,false,,50,0
transient-empty,empty-payload-guard,50,23,true,,50,0
transient-empty,without-empty-guard,50,23,false,,0,0
stable-identity,full-protocol,50,24,true,1,50,0.09979999999998768
stable-identity,without-stable-id,50,24,false,0,50,0.10669999999998936
state-continuity,replace-all,50,24,false,0,50,0.001299999999986312
state-continuity,state-preserving-merge,50,24,true,1,50,0.09749999999999659
message-order,sequence-guard,50,24,true,,50,0
message-order,without-sequence-guard,50,24,false,,50,0
transient-empty,empty-payload-guard,50,24,true,,50,0
transient-empty,without-empty-guard,50,24,false,,0,0
stable-identity,full-protocol,50,25,true,1,50,0.09839999999999804
stable-identity,without-stable-id,50,25,false,0,50,0.2738999999999976
state-continuity,replace-all,50,25,false,0,50,0.0021000000000128694
state-continuity,state-preserving-merge,50,25,true,1,50,0.10269999999999868
message-order,sequence-guard,50,25,true,,50,0
message-order,without-sequence-guard,50,25,false,,50,0
transient-empty,empty-payload-guard,50,25,true,,50,0
transient-empty,without-empty-guard,50,25,false,,0,0
stable-identity,full-protocol,50,26,true,1,50,0.10200000000000387
stable-identity,without-stable-id,50,26,false,0,50,0.10439999999999827
