property_id,invariant,boundary,passed,generated_cases,skipped_cases,shrinks,seed,counterexample_path,counterexample,error,elapsed_ms
PB-01,normalization is idempotent,semantic normalization,true,2000,0,0,20260805,,,,34.332875
PB-02,NFC-equivalent and trim-equivalent records share one normalized identity,semantic normalization,true,2000,0,0,20260806,,,,26.228249999999974
PB-03,structured identity keys avoid delimiter-concatenation collisions,semantic identity,true,2000,0,0,20260807,,,,10.991375000000005
PB-04,duplicate stable identifiers are deterministically deduplicated with last-row precedence,semantic identity,true,2000,0,0,20260808,,,,29.226417000000026
PB-05,stable-ID merge preserves lottery-side state while updating public fields,historical state,true,2000,0,0,20260809,,,,155.426667
PB-06,identical legacy identities are upgraded one-to-one when stable IDs arrive,identity upgrade and historical state,true,2000,0,0,20260810,,,,158.45854199999997
PB-07,historical UID exclusions survive stable-ID introduction,exclusion continuity,true,2000,0,0,20260811,,,,19.259915999999976
PB-08,sequence watermarks permit only safe retry and never roll back past a newer accepted sequence,message order and retry,true,2000,0,0,20260812,,,,5.737166000000002
PB-09,transient invalid empties are skipped while explicit zero rosters clear,empty-payload semantics,true,2000,0,0,20260813,,,,9.196749999999952
